Step,height (mm),Frequency (GHz),Q raw,Q spline,Loss (dB),,mm_p_step,Holder Material,Sample,OD base (mm),OD top (mm),Length (mm),Length wo base (mm),ID (mm),WG_length (mm),WG_d (mm),WG_a (mm),Mode,Aeff_E,Aeff_Es,Aeff_H,Aeff_Hs
0,0,1.0360175,5110.934967,5124.043277,,,0.0018,,,,,,,,457.2,152.4,29.08,1,64.73783,39.08962,0.1295147,0.04718448
250,0.45,1.036017344,5106.996594,5124.042504,,,,,,,,,,,,,,,,,,
500,0.9,1.036020313,5110.798064,5128.020108,,,,,,,,,,,,,,,,,,
750,1.35,1.036019531,5110.743832,5124.053323,,,,,,,,,,,,,,,,,,
1000,1.8,1.036020313,5113.179039,5128.020108,,,,,,,,,,,,,,,,,,
1250,2.25,1.036019063,5111.895243,5124.051005,,,,,,,,,,,,,,,,,,
1500,2.7,1.036017344,5112.362902,5128.005414,,,,,,,,,,,,,,,,,,
1750,3.15,1.036017031,5113.071437,5124.040958,,,,,,,,,,,,,,,,,,
2000,3.6,1.03601625,5113.265284,5124.037094,,,,,,,,,,,,,,,,,,
2250,4.05,1.036015,5109.704709,5124.030912,,,,,,,,,,,,,,,,,,
2500,4.5,1.036013438,5111.318196,5120.066409,,,,,,,,,,,,,,,,,,
2750,4.95,1.036011094,5115.101963,5124.011592,,,,,,,,,,,,,,,,,,
3000,5.4,1.036007656,5115.164874,5127.957463,,,,,,,,,,,,,,,,,,
3250,5.85,1.036000781,5110.052088,5123.960587,,,,,,,,,,,,,,,,,,
3500,6.3,1.035991406,5109.722514,5123.914219,,,,,,,,,,,,,,,,,,
3750,6.75,1.035978125,5113.584274,5123.848532,,,,,,,,,,,,,,,,,,
4000,7.2,1.035961719,5108.832425,5119.810811,,,,,,,,,,,,,,,,,,
4250,7.65,1.035937969,5107.967561,5115.743056,,,,,,,,,,,,,,,,,,
4500,8.1,1.03591625,5102.133502,5119.5861,,,,,,,,,,,,,,,,,,
4750,8.55,1.035888438,5101.124365,5111.554356,,,,,,,,,,,,,,,,,,
5000,9,1.035860781,5100.588126,5107.479969,,,,,,,,,,,,,,,,,,
5250,9.45,1.035827188,5085.88289,5103.382602,,,,,,,,,,,,,,,,,,
5500,9.9,1.035791406,5076.234423,5091.447773,,,,,,,,,,,,,,,,,,
5750,10.35,1.035751563,5069.866045,5083.443252,,,,,,,,,,,,,,,,,,
6000,10.8,1.035709688,5055.928618,5071.570008,,,,,,,,,,,,,,,,,,
6250,11.25,1.035665313,5040.849135,5052.025915,,,,,,,,,,,,,,,,,,
6500,11.7,1.035618594,5024.42851,5032.618831,,,,,,,,,,,,,,,,,,
6750,12.15,1.035571719,5011.841122,5020.953788,,,,,,,,,,,,,,,,,,
7000,12.6,1.035518125,4986.541155,4994.209495,,,,,,,,,,,,,,,,,,
7250,13.05,1.035464375,4967.794346,4978.942149,,,,,,,,,,,,,,,,,,
7500,13.5,1.035410313,4945.793379,4960.049401,,,,,,,,,,,,,,,,,,
7750,13.95,1.035356094,4928.523627,4937.614754,,,,,,,,,,,,,,,,,,
8000,14.4,1.035297344,4897.320697,4911.714603,,,,,,,,,,,,,,,,,,
8250,14.85,1.035239688,4876.558323,4889.692989,,,,,,,,,,,,,,,,,,
8500,15.3,1.035118594,4824.148598,4842.660088,,,,,,,,,,,,,,,,,,
8750,15.75,1.035056406,4798.480423,4807.228592,,,,,,,,,,,,,,,,,,
9000,16.2,1.034994531,4771.711564,4786.101879,,,,,,,,,,,,,,,,,,
9250,16.65,1.034927813,4744.539824,4754.872936,,,,,,,,,,,,,,,,,,
9500,17.1,1.034864688,4713.342195,4724.061341,,,,,,,,,,,,,,,,,,
9750,17.55,1.034798438,4684.883362,4696.957447,,,,,,,,,,,,,,,,,,
10000,18,1.034734375,4654.17106,4666.878083,,,,,,,,,,,,,,,,,,
10250,18.45,1.034668594,4632.455136,4637.170168,,,,,,,,,,,,,,,,,,
10500,18.9,1.034531406,4567.474643,4575.674499,,,,,,,,,,,,,,,,,,
10750,19.35,1.034399375,4512.31143,4521.964481,,,,,,,,,,,,,,,,,,
11000,19.8,1.03433,4481.940268,4497.086957,,,,,,,,,,,,,,,,,,
11250,20.25,1.034189219,4421.344191,4436.200402,,,,,,,,,,,,,,,,,,
11500,20.7,1.034121719,4391.206796,4403.445775,,,,,,,,,,,,,,,,,,
11750,21.15,1.03398,4332.135577,4347.879106,,,,,,,,,,,,,,,,,,
12000,21.6,1.033907031,4303.564411,4310.752443,,,,,,,,,,,,,,,,,,
12250,22.05,1.033761719,4242.150807,4251.976221,,,,,,,,,,,,,,,,,,
12500,22.5,1.033692031,4215.485803,4229.941816,,,,,,,,,,,,,,,,,,
12750,22.95,1.033620625,4188.091903,4194.782498,,,,,,,,,,,,,,,,,,
13000,23.4,1.033546094,4159.893504,4168.049779,,,,,,,,,,,,,,,,,,
13250,23.85,1.033475781,4129.653013,4144.263784,,,,,,,,,,,,,,,,,,
13500,24.3,1.033401563,4104.301507,4115.600498,,,,,,,,,,,,,,,,,,
13750,24.75,1.033329375,4076.542817,4084.810377,,,,,,,,,,,,,,,,,,
14000,25.2,1.033258438,4050.812586,4059.456108,,,,,,,,,,,,,,,,,,
14250,25.65,1.033115,4004.099064,4009.664039,,,,,,,,,,,,,,,,,,
14500,26.1,1.033047969,3980.962994,3987.639928,,,,,,,,,,,,,,,,,,
14750,26.55,1.03297875,3956.552706,3965.845231,,,,,,,,,,,,,,,,,,
15000,27,1.032918594,3935.807849,3946.67403,,,,,,,,,,,,,,,,,,
15250,27.45,1.032855313,3920.048008,3925.340855,,,,,,,,,,,,,,,,,,
15500,27.9,1.032794063,3902.548058,3908.859846,,,,,,,,,,,,,,,,,,
15750,28.35,1.032739063,3883.676764,3892.53828,,,,,,,,,,,,,,,,,,
