Step,height (mm),Frequency (GHz),Q raw,Q spline,Loss (dB),,mm_p_step,Holder Material,Sample,OD base (mm),OD top (mm),Length (mm),Length wo base (mm),ID (mm),WG_length (mm),WG_d (mm),WG_a (mm),Mode,Aeff_E,Aeff_H
0,0,1.91099125,5442.645795,5455.104371,,,0.0018,,,,,,,,457.2,152.4,29.08,5,66.19904,
250,0.45,1.91099,5442.510676,5455.100803,,,,,,,,,,,,,,,,
500,0.9,1.910990938,5442.133775,5455.103479,,,,,,,,,,,,,,,,
750,1.35,1.910990313,5442.237789,5455.101695,,,,,,,,,,,,,,,,
1000,1.8,1.91098875,5441.719357,5455.097235,,,,,,,,,,,,,,,,
1250,2.25,1.910987188,5441.70986,5455.092774,,,,,,,,,,,,,,,,
1500,2.7,1.910988438,5443.391721,5455.096343,,,,,,,,,,,,,,,,
1750,3.15,1.910988125,5442.534064,5455.09545,,,,,,,,,,,,,,,,
2000,3.6,1.910986875,5441.885772,5455.091882,,,,,,,,,,,,,,,,
2250,4.05,1.91098375,5441.668929,5455.082962,,,,,,,,,,,,,,,,
2500,4.5,1.910980313,5443.001552,5455.073149,,,,,,,,,,,,,,,,
2750,4.95,1.910976563,5442.046875,5455.062444,,,,,,,,,,,,,,,,
3000,5.4,1.9109675,5442.436644,5455.036574,,,,,,,,,,,,,,,,
3250,5.85,1.910955,5443.132952,5455.000892,,,,,,,,,,,,,,,,
3500,6.3,1.910936875,5441.819702,5454.949153,,,,,,,,,,,,,,,,
3750,6.75,1.910911563,5441.348689,5454.876896,,,,,,,,,,,,,,,,
4000,7.2,1.910879375,5442.193129,5454.785013,,,,,,,,,,,,,,,,
4250,7.65,1.910846563,5441.638214,5454.691347,,,,,,,,,,,,,,,,
4500,8.1,1.9108075,5440.916851,5454.579839,,,,,,,,,,,,,,,,
4750,8.55,1.91076,5439.481931,5454.444246,,,,,,,,,,,,,,,,
5000,9,1.910713438,5439.454108,5454.311329,,,,,,,,,,,,,,,,
5250,9.45,1.91066125,5439.429388,5449.301248,,,,,,,,,,,,,,,,
5500,9.9,1.910605313,5439.55368,5454.002676,,,,,,,,,,,,,,,,
5750,10.35,1.910549063,5438.633767,5453.842105,,,,,,,,,,,,,,,,
6000,10.8,1.910487813,5438.951286,5448.806595,,,,,,,,,,,,,,,,
6250,11.25,1.910424375,5437.643881,5448.625668,,,,,,,,,,,,,,,,
6500,11.7,1.910361563,5437.514106,5448.446524,,,,,,,,,,,,,,,,
6750,12.15,1.910295,5436.214513,5448.256684,,,,,,,,,,,,,,,,
