Step,height (mm),Frequency (GHz),Q raw,Q spline,Loss (dB),,mm_p_step,Holder Material,Sample,OD base (mm),OD top (mm),Length (mm),Length wo base (mm),ID (mm),WG_length (mm),WG_d (mm),WG_a (mm),Mode,Aeff_E,Aeff_H
0,0,1.39035,5075.82556,5113.931034,,,0.0018,,Rexolite,,,,,,457.2,152.4,29.08,3,6.55E+01,
250,0.45,1.39035,5075.808641,5113.931034,,,,,,,,,,,,,,,,
500,0.9,1.39035,5073.857675,5055.818182,,,,,,,,,,,,,,,,
750,1.35,1.39035,5077.338823,5113.931034,,,,,,,,,,,,,,,,
1000,1.8,1.39035,5076.364416,5055.818182,,,,,,,,,,,,,,,,
1250,2.25,1.39035,5076.808222,5055.818182,,,,,,,,,,,,,,,,
1500,2.7,1.39035,5077.483406,5055.818182,,,,,,,,,,,,,,,,
1750,3.15,1.39035,5074.985796,5113.931034,,,,,,,,,,,,,,,,
2000,3.6,1.390346875,5075.90387,5113.91954,,,,,,,,,,,,,,,,
2250,4.05,1.390346875,5073.161349,5055.806818,,,,,,,,,,,,,,,,
2500,4.5,1.39034375,5076.276502,5113.908046,,,,,,,,,,,,,,,,
2750,4.95,1.390340625,5074.668191,5113.896552,,,,,,,,,,,,,,,,
3000,5.4,1.3903375,5074.616443,5055.772727,,,,,,,,,,,,,,,,
3250,5.85,1.39033125,5076.663263,5113.862069,,,,,,,,,,,,,,,,
3500,6.3,1.39031875,5075.255025,5055.704545,,,,,,,,,,,,,,,,
3750,6.75,1.390303125,5074.891887,5113.758621,,,,,,,,,,,,,,,,
4000,7.2,1.390284375,5074.568567,5113.689655,,,,,,,,,,,,,,,,
4250,7.65,1.390259375,5075.020988,5055.488636,,,,,,,,,,,,,,,,
4500,8.1,1.39023125,5072.860416,5055.386364,,,,,,,,,,,,,,,,
4750,8.55,1.3902,5073.814185,5113.37931,,,,,,,,,,,,,,,,
5000,9,1.390165625,5072.220996,5113.252874,,,,,,,,,,,,,,,,
5250,9.45,1.390128125,5072.227795,5113.114943,,,,,,,,,,,,,,,,
5500,9.9,1.390090625,5071.660957,5112.977011,,,,,,,,,,,,,,,,
5750,10.35,1.39005,5070.282804,5054.727273,,,,,,,,,,,,,,,,
6000,10.8,1.39000625,5071.328174,5112.666667,,,,,,,,,,,,,,,,
6250,11.25,1.3899625,5068.44595,5054.409091,,,,,,,,,,,,,,,,
6500,11.7,1.389915625,5068.56448,5054.238636,,,,,,,,,,,,,,,,
6750,12.15,1.38986875,5066.63321,5054.068182,,,,,,,,,,,,,,,,
7000,12.6,1.38981875,5067.250106,5053.886364,,,,,,,,,,,,,,,,
7250,13.05,1.38976875,5065.310401,5053.704545,,,,,,,,,,,,,,,,
7500,13.5,1.38971875,5062.69693,5111.609195,,,,,,,,,,,,,,,,
7750,13.95,1.389665625,5063.953391,5053.329545,,,,,,,,,,,,,,,,
8000,14.4,1.3896125,5062.683706,5053.136364,,,,,,,,,,,,,,,,
8250,14.85,1.38955625,5061.553073,5111.011494,,,,,,,,,,,,,,,,
8500,15.3,1.389503125,5060.285184,5110.816092,,,,,,,,,,,,,,,,
8750,15.75,1.38945,5058.734705,5110.62069,,,,,,,,,,,,,,,,
9000,16.2,1.389390625,5057.966085,5110.402299,,,,,,,,,,,,,,,,
9250,16.65,1.38933125,5056.822512,5110.183908,,,,,,,,,,,,,,,,
9500,17.1,1.389278125,5056.320299,5109.988506,,,,,,,,,,,,,,,,
9750,17.55,1.38921875,5054.716489,5051.704545,,,,,,,,,,,,,,,,
10000,18,1.3891625,5054.293387,5051.5,,,,,,,,,,,,,,,,
10250,18.45,1.389103125,5053.421782,5051.284091,,,,,,,,,,,,,,,,
10500,18.9,1.38904375,5051.281489,5109.126437,,,,,,,,,,,,,,,,
10750,19.35,1.3889875,5049.624914,5108.91954,,,,,,,,,,,,,,,,
11000,19.8,1.388928125,5048.256636,5108.701149,,,,,,,,,,,,,,,,
11250,20.25,1.388865625,5047.989765,5050.420455,,,,,,,,,,,,,,,,
11500,20.7,1.388809375,5045.560924,5050.215909,,,,,,,,,,,,,,,,
11750,21.15,1.388746875,5044.872723,5049.988636,,,,,,,,,,,,,,,,
12000,21.6,1.3886875,5044.858568,5049.772727,,,,,,,,,,,,,,,,
12250,22.05,1.388625,5042.641459,5049.545455,,,,,,,,,,,,,,,,
12500,22.5,1.388565625,5042.547321,5049.329545,,,,,,,,,,,,,,,,
12750,22.95,1.388503125,5039.678009,5049.102273,,,,,,,,,,,,,,,,
13000,23.4,1.388440625,5038.706395,5048.875,,,,,,,,,,,,,,,,
13250,23.85,1.38838125,5036.93369,5048.659091,,,,,,,,,,,,,,,,
13500,24.3,1.38831875,5035.471773,5048.431818,,,,,,,,,,,,,,,,
13750,24.75,1.38825625,5034.609071,5048.204545,,,,,,,,,,,,,,,,
14000,25.2,1.388196875,5031.518809,4991.269663,,,,,,,,,,,,,,,,
14250,25.65,1.38813125,5031.008061,5047.75,,,,,,,,,,,,,,,,
14500,26.1,1.38806875,5030.477867,4990.808989,,,,,,,,,,,,,,,,
14750,26.55,1.38800625,5029.459865,5047.295455,,,,,,,,,,,,,,,,
15000,27,1.38794375,5027.794993,5047.068182,,,,,,,,,,,,,,,,
15250,27.45,1.387878125,5026.56248,4990.123596,,,,,,,,,,,,,,,,
15500,27.9,1.387815625,5025.555044,5046.602273,,,,,,,,,,,,,,,,
15750,28.35,1.387753125,5023.254312,4989.674157,,,,,,,,,,,,,,,,
16000,28.8,1.3876875,5021.78259,5046.136364,,,,,,,,,,,,,,,,
16250,29.25,1.38761875,5021.00015,5045.886364,,,,,,,,,,,,,,,,
16500,29.7,1.387553125,5019.134881,5045.647727,,,,,,,,,,,,,,,,
16750,30.15,1.3874875,5017.5015,5045.409091,,,,,,,,,,,,,,,,
17000,30.6,1.38741875,5015.629389,5045.159091,,,,,,,,,,,,,,,,
17250,31.05,1.38735,5014.431357,5044.909091,,,,,,,,,,,,,,,,
17500,31.5,1.38728125,5014.406878,5044.659091,,,,,,,,,,,,,,,,
17750,31.95,1.3872125,5011.383765,5044.409091,,,,,,,,,,,,,,,,
18000,32.4,1.387140625,5008.314704,5044.147727,,,,,,,,,,,,,,,,
18250,32.85,1.387065625,5008.474145,5043.875,,,,,,,,,,,,,,,,
18500,33.3,1.3869875,5006.430911,5043.590909,,,,,,,,,,,,,,,,
