Step,height (mm),Frequency (MHz),Q,Loss (dB),mm_p_step,Holder Material,Sample,OD base (mm),OD top (mm),Length (mm),Length wo base (mm),ID (mm),WG_length (mm),WG_d (mm),WG_a (mm),WG_wall_thickness (mm),Mode,Sample OD (mm),Aeff_Es,Aeff_E,epsrh,epsih
-15000,0,539.033,10023,-25.553,0.006,7LR,14163.774 submature mafic highland,9.9,9.9,150.95,148.37,6.85,1003.3,500.202,99.53,13,3,6.85,36.83905,76.91661,2.55,0.0011475
-14700,1.8,539.03275,10034,-25.549,,,,,,,,,,,,,,,,,,
-14400,3.6,539.03325,10026,-25.553,,,,,,,,,,,,,,,,,,
-14100,5.4,539.032625,10012,-25.552,,,,,,,,,,,,,,,,,,
-13800,7.2,539.03275,9994.2,-25.554,,,,,,,,,,,,,,,,,,
-13500,9,539.03275,10038,-25.554,,,,,,,,,,,,,,,,,,
-13200,10.8,539.03225,10012,-25.555,,,,,,,,,,,,,,,,,,
-12900,12.6,539.032625,10009,-25.555,,,,,,,,,,,,,,,,,,
-12600,14.4,539.031625,10038,-25.551,,,,,,,,,,,,,,,,,,
-12300,16.2,539.029125,10002,-25.556,,,,,,,,,,,,,,,,,,
-12000,18,539.02625,10022,-25.549,,,,,,,,,,,,,,,,,,
-11700,19.8,539.022875,10012,-25.557,,,,,,,,,,,,,,,,,,
-11400,21.6,539.0185,10031,-25.556,,,,,,,,,,,,,,,,,,
-11100,23.4,539.013375,10026,-25.56,,,,,,,,,,,,,,,,,,
-10800,25.2,539.007375,10008,-25.564,,,,,,,,,,,,,,,,,,
-10500,27,539.001625,10021,-25.568,,,,,,,,,,,,,,,,,,
-10200,28.8,538.995875,9983.2,-25.569,,,,,,,,,,,,,,,,,,
-9900,30.6,538.99,10008,-25.576,,,,,,,,,,,,,,,,,,
-9600,32.4,538.98425,9973.4,-25.582,,,,,,,,,,,,,,,,,,
-9300,34.2,538.977375,9985.5,-25.592,,,,,,,,,,,,,,,,,,
-9000,36,538.971875,9986.3,-25.592,,,,,,,,,,,,,,,,,,
-8700,37.8,538.965875,9996.7,-25.601,,,,,,,,,,,,,,,,,,
-8400,39.6,538.96,9921.8,-25.61,,,,,,,,,,,,,,,,,,
-8100,41.4,538.953625,9953.3,-25.607,,,,,,,,,,,,,,,,,,
-7800,43.2,538.947625,9964.5,-25.619,,,,,,,,,,,,,,,,,,
-7500,45,538.941375,9946.7,-25.626,,,,,,,,,,,,,,,,,,
-7200,46.8,538.936,9909.4,-25.629,,,,,,,,,,,,,,,,,,
-6900,48.6,538.9305,9905.7,-25.632,,,,,,,,,,,,,,,,,,
-6600,50.4,538.924875,9915.3,-25.637,,,,,,,,,,,,,,,,,,
-6300,52.2,538.918875,9896.9,-25.647,,,,,,,,,,,,,,,,,,
-6000,54,538.91275,9929.2,-25.647,,,,,,,,,,,,,,,,,,
-5700,55.8,538.9075,9899,-25.654,,,,,,,,,,,,,,,,,,
-5400,57.6,538.901625,9926.1,-25.656,,,,,,,,,,,,,,,,,,
-5100,59.4,538.89525,9891.4,-25.667,,,,,,,,,,,,,,,,,,
-4800,61.2,538.889875,9892.9,-25.666,,,,,,,,,,,,,,,,,,
-4500,63,538.884875,9880.7,-25.674,,,,,,,,,,,,,,,,,,
-4200,64.8,538.88,9899.8,-25.674,,,,,,,,,,,,,,,,,,
-3900,66.6,538.875125,9841.9,-25.681,,,,,,,,,,,,,,,,,,
-3600,68.4,538.8696,9870.3,-25.686,,,,,,,,,,,,,,,,,,
-3300,70.2,538.865,9869.8,-25.685,,,,,,,,,,,,,,,,,,
-3000,72,538.862,9883.9,-25.69,,,,,,,,,,,,,,,,,,
-2700,73.8,538.859,9853,-25.687,,,,,,,,,,,,,,,,,,
-2400,75.6,538.85625,9880.5,-25.689,,,,,,,,,,,,,,,,,,
-2100,77.4,538.853875,9876.6,-25.691,,,,,,,,,,,,,,,,,,
-1800,79.2,538.851,9843.6,-25.688,,,,,,,,,,,,,,,,,,
-1500,81,538.848625,9882.8,-25.69,,,,,,,,,,,,,,,,,,
-1200,82.8,538.84725,9876.8,-25.687,,,,,,,,,,,,,,,,,,
-900,84.6,538.844375,9865.7,-25.692,,,,,,,,,,,,,,,,,,
-600,86.4,538.841375,9873.7,-25.691,,,,,,,,,,,,,,,,,,
-300,88.2,538.8395,9880.2,-25.692,,,,,,,,,,,,,,,,,,
0,90,538.83675,9850.9,-25.693,,,,,,,,,,,,,,,,,,
