Step,height (mm),Frequency (MHz),Q,Loss (dB),mm_p_step,Holder Material,Sample,OD base (mm),OD top (mm),Length (mm),Length wo base (mm),ID (mm),WG_length (mm),WG_d (mm),WG_a (mm),WG_wall_thickness (mm),Mode,Sample OD (mm),Sample Aeff,Aeff
-15000,0,804.6613688,11261,-21.789,0.006,4LR,15041.40 Mature Low TI Mare,9.9,9.9,150.95,148.37,6.85,1003.3,500.202,99.53,13,5,6.85,36.82207,76.8427
-14700,1.8,804.6613688,11258,-21.781,,,,,,,,,,,,,,,,
-14400,3.6,804.6610031,11251,-21.79,,,,,,,,,,,,,,,,
-14100,5.4,804.6605969,11262,-21.775,,,,,,,,,,,,,,,,
-13800,7.2,804.6610844,11259,-21.781,,,,,,,,,,,,,,,,
-13500,9,804.6606781,11246,-21.782,,,,,,,,,,,,,,,,
-13200,10.8,804.6613688,11248,-21.778,,,,,,,,,,,,,,,,
-12900,12.6,804.6602313,11274,-21.78,,,,,,,,,,,,,,,,
-12600,14.4,804.6596219,11248,-21.78,,,,,,,,,,,,,,,,
-12300,16.2,804.6559656,11251,-21.781,,,,,,,,,,,,,,,,
-12000,18,804.65105,11270,-21.786,,,,,,,,,,,,,,,,
-11700,19.8,804.644875,11245,-21.774,,,,,,,,,,,,,,,,
-11400,21.6,804.6378469,11241,-21.78,,,,,,,,,,,,,,,,
-11100,23.4,804.6303313,11239,-21.786,,,,,,,,,,,,,,,,
-10800,25.2,804.6226938,11238,-21.792,,,,,,,,,,,,,,,,
-10500,27,804.6153,11218,-21.8,,,,,,,,,,,,,,,,
-10200,28.8,804.6060375,11213,-21.808,,,,,,,,,,,,,,,,
-9900,30.6,804.5974656,11209,-21.813,,,,,,,,,,,,,,,,
-9600,32.4,804.5884469,11204,-21.815,,,,,,,,,,,,,,,,
-9300,34.2,804.5798344,11189,-21.827,,,,,,,,,,,,,,,,
-9000,36,804.5703688,11183,-21.834,,,,,,,,,,,,,,,,
-8700,37.8,804.5604563,11173,-21.844,,,,,,,,,,,,,,,,
-8400,39.6,804.5518438,11169,-21.846,,,,,,,,,,,,,,,,
-8100,41.4,804.5429063,11161,-21.851,,,,,,,,,,,,,,,,
-7800,43.2,804.5334813,11147,-21.86,,,,,,,,,,,,,,,,
-7500,45,804.5245844,11153,-21.861,,,,,,,,,,,,,,,,
-7200,46.8,804.5154844,11127,-21.868,,,,,,,,,,,,,,,,
-6900,48.6,804.5067906,11145,-21.873,,,,,,,,,,,,,,,,
-6600,50.4,804.4980156,11110,-21.886,,,,,,,,,,,,,,,,
-6300,52.2,804.4885906,11108,-21.883,,,,,,,,,,,,,,,,
-6000,54,804.4785563,11096,-21.895,,,,,,,,,,,,,,,,
-5700,55.8,804.470675,11100,-21.902,,,,,,,,,,,,,,,,
-5400,57.6,804.4625094,11088,-21.91,,,,,,,,,,,,,,,,
-5100,59.4,804.4534906,11079,-21.917,,,,,,,,,,,,,,,,
-4800,61.2,804.4444313,11082,-21.917,,,,,,,,,,,,,,,,
-4500,63,804.4358188,11055,-21.928,,,,,,,,,,,,,,,,
-4200,64.8,804.4275719,11048,-21.934,,,,,,,,,,,,,,,,
-3900,66.6,804.4207469,11041,-21.937,,,,,,,,,,,,,,,,
-3600,68.4,804.41575,11029,-21.934,,,,,,,,,,,,,,,,
-3300,70.2,804.4105094,11047,-21.932,,,,,,,,,,,,,,,,
-3000,72,804.4077469,11036,-21.936,,,,,,,,,,,,,,,,
-2700,73.8,804.403725,11031,-21.94,,,,,,,,,,,,,,,,
-2400,75.6,804.3990938,11032,-21.938,,,,,,,,,,,,,,,,
-2100,77.4,804.3958844,11042,-21.935,,,,,,,,,,,,,,,,
-1800,79.2,804.3921469,11036,-21.941,,,,,,,,,,,,,,,,
-1500,81,804.3888156,11044,-21.941,,,,,,,,,,,,,,,,
-1200,82.8,804.3852813,11033,-21.944,,,,,,,,,,,,,,,,
-900,84.6,804.3815844,11036,-21.942,,,,,,,,,,,,,,,,
-600,86.4,804.3773594,11028,-21.946,,,,,,,,,,,,,,,,
-300,88.2,804.3741094,11050,-21.943,,,,,,,,,,,,,,,,
0,90,804.3702094,11041,-21.941,,,,,,,,,,,,,,,,
