Step,height (mm),Frequency (MHz),Q,Loss (dB),Empty Cavity Resonant Frequency,Empty Cavity Resonant Q,mm_p_step,Holder Material,Sample,OD base (mm),OD top (mm),Length (mm),Length wo base (mm),ID (mm),WG_length (mm),WG_d (mm),WG_a (mm),WG_wall_thickness (mm),Mode,Sample OD (mm),Sample Aeff,Aeff
0,0,538.7907813,9877.1,-25.747,539.03,10025,0.006,7LR,66041.3 mature highland,9.9,9.9,150.95,148.37,6.85,1003.3,500.202,99.53,13,3,6.85,36.84752,76.95364
-300,1.8,538.7941563,9894.6,-25.751,,,,,,,,,,,,,,,,,,
-600,3.6,538.7979688,9911.1,-25.747,,,,,,,,,,,,,,,,,,
-900,5.4,538.80125,9916.8,-25.744,,,,,,,,,,,,,,,,,,
-1200,7.2,538.804125,9883.1,-25.744,,,,,,,,,,,,,,,,,,
-1500,9,538.8077813,9927.9,-25.749,,,,,,,,,,,,,,,,,,
-1800,10.8,538.8094063,9898.2,-25.745,,,,,,,,,,,,,,,,,,
-2100,12.6,538.8124688,9903.2,-25.749,,,,,,,,,,,,,,,,,,
-2400,14.4,538.8149063,9900.1,-25.75,,,,,,,,,,,,,,,,,,
-2700,16.2,538.81775,9966.9,-25.743,,,,,,,,,,,,,,,,,,
-3000,18,538.8199063,9933.9,-25.747,,,,,,,,,,,,,,,,,,
-3300,19.8,538.822125,9918,-25.745,,,,,,,,,,,,,,,,,,
-3600,21.6,538.8249688,9918,-25.746,,,,,,,,,,,,,,,,,,
-3900,23.4,538.8273438,9919.1,-25.744,,,,,,,,,,,,,,,,,,
-4200,25.2,538.8304063,9893.5,-25.744,,,,,,,,,,,,,,,,,,
-4500,27,538.8332188,9884.1,-25.739,,,,,,,,,,,,,,,,,,
-4800,28.8,538.8356563,9892.3,-25.743,,,,,,,,,,,,,,,,,,
-5100,30.6,538.8405313,9893.2,-25.746,,,,,,,,,,,,,,,,,,
-5400,32.4,538.8446563,9908.3,-25.74,,,,,,,,,,,,,,,,,,
-5700,34.2,538.8497813,9914,-25.737,,,,,,,,,,,,,,,,,,
-6000,36,538.8558438,9935,-25.729,,,,,,,,,,,,,,,,,,
-6300,37.8,538.8610938,9915.9,-25.734,,,,,,,,,,,,,,,,,,
-6600,39.6,538.8660625,9925.4,-25.726,,,,,,,,,,,,,,,,,,
-6900,41.4,538.8710625,9896.7,-25.725,,,,,,,,,,,,,,,,,,
-7200,43.2,538.8774375,9919.7,-25.723,,,,,,,,,,,,,,,,,,
-7500,45,538.8824375,9969.7,-25.723,,,,,,,,,,,,,,,,,,
-7800,46.8,538.88725,9919.6,-25.714,,,,,,,,,,,,,,,,,,
-8100,48.6,538.8930313,9930.8,-25.706,,,,,,,,,,,,,,,,,,
-8400,50.4,538.898125,9971.4,-25.707,,,,,,,,,,,,,,,,,,
-8700,52.2,538.9035625,9936.9,-25.703,,,,,,,,,,,,,,,,,,
-9000,54,538.9096563,9936,-25.701,,,,,,,,,,,,,,,,,,
-9300,55.8,538.9150313,9958.7,-25.696,,,,,,,,,,,,,,,,,,
-9600,57.6,538.9193125,9965.9,-25.691,,,,,,,,,,,,,,,,,,
-9900,59.4,538.9259063,9970.4,-25.689,,,,,,,,,,,,,,,,,,
-10200,61.2,538.9307813,9978,-25.685,,,,,,,,,,,,,,,,,,
-10500,63,538.936125,9994.2,-25.681,,,,,,,,,,,,,,,,,,
-10800,64.8,538.942125,9959.8,-25.673,,,,,,,,,,,,,,,,,,
-11100,66.6,538.9473438,9982.6,-25.67,,,,,,,,,,,,,,,,,,
-11400,68.4,538.9524063,9986.4,-25.675,,,,,,,,,,,,,,,,,,
-11700,70.2,538.9580625,9988.2,-25.664,,,,,,,,,,,,,,,,,,
-12000,72,538.9636563,10013,-25.659,,,,,,,,,,,,,,,,,,
-12300,73.8,538.9691563,10011,-25.659,,,,,,,,,,,,,,,,,,
-12600,75.6,538.9742188,10024,-25.655,,,,,,,,,,,,,,,,,,
-12900,77.4,538.9795,9992.2,-25.654,,,,,,,,,,,,,,,,,,
-13200,79.2,538.985125,9992.1,-25.649,,,,,,,,,,,,,,,,,,
-13500,81,538.9903438,10021,-25.646,,,,,,,,,,,,,,,,,,
-13800,82.8,538.9968438,10015,-25.64,,,,,,,,,,,,,,,,,,
-14100,84.6,539.0018125,10046,-25.637,,,,,,,,,,,,,,,,,,
-14400,86.4,539.006375,10021,-25.639,,,,,,,,,,,,,,,,,,
-14700,88.2,539.0113438,10026,-25.633,,,,,,,,,,,,,,,,,,
-15000,90,539.0160313,10052,-25.631,,,,,,,,,,,,,,,,,,
