Step,height (mm),Frequency (MHz),Q,Loss (dB),mm_p_step,Holder Material,Sample,OD base (mm),OD top (mm),Length (mm),Length wo base (mm),ID (mm),WG_length (mm),WG_d (mm),WG_a (mm),WG_wall_thickness (mm),Mode,Sample OD (mm),Aeff_Es,Aeff_E
-15000,0,334.8138219,9544.9,-38.457,0.006,7LR,66041.3 mature highland,9.9,9.9,150.95,148.37,6.85,1003.3,500.202,99.53,13,1,6.85,36.84752,76.95364
-14700,1.8,334.8136688,9550,-38.462,,,,,,,,,,,,,,,,
-14400,3.6,334.8138219,9566.5,-38.46,,,,,,,,,,,,,,,,
-14100,5.4,334.8137563,9558.3,-38.461,,,,,,,,,,,,,,,,
-13800,7.2,334.813975,9550.2,-38.461,,,,,,,,,,,,,,,,
-13500,9,334.8133625,9528.2,-38.462,,,,,,,,,,,,,,,,
-13200,10.8,334.813625,9564.7,-38.462,,,,,,,,,,,,,,,,
-12900,12.6,334.8132094,9572.7,-38.464,,,,,,,,,,,,,,,,
-12600,14.4,334.8115906,9545.8,-38.459,,,,,,,,,,,,,,,,
-12300,16.2,334.8097531,9531.7,-38.457,,,,,,,,,,,,,,,,
-12000,18,334.8080688,9572.5,-38.456,,,,,,,,,,,,,,,,
-11700,19.8,334.8055969,9567.3,-38.468,,,,,,,,,,,,,,,,
-11400,21.6,334.8023375,9519.7,-38.477,,,,,,,,,,,,,,,,
-11100,23.4,334.7996906,9538.1,-38.471,,,,,,,,,,,,,,,,
-10800,25.2,334.7961031,9548,-38.464,,,,,,,,,,,,,,,,
-10500,27,334.7930844,9529.6,-38.471,,,,,,,,,,,,,,,,
-10200,28.8,334.7899563,9544.7,-38.477,,,,,,,,,,,,,,,,
-9900,30.6,334.7866531,9548.7,-38.479,,,,,,,,,,,,,,,,
-9600,32.4,334.7829563,9538.2,-38.488,,,,,,,,,,,,,,,,
-9300,34.2,334.7798063,9547.4,-38.483,,,,,,,,,,,,,,,,
-9000,36,334.7760219,9541.2,-38.486,,,,,,,,,,,,,,,,
-8700,37.8,334.7724344,9510,-38.493,,,,,,,,,,,,,,,,
-8400,39.6,334.769,9515,-38.496,,,,,,,,,,,,,,,,
-8100,41.4,334.7655875,9496.7,-38.496,,,,,,,,,,,,,,,,
-7800,43.2,334.762175,9508.4,-38.505,,,,,,,,,,,,,,,,
-7500,45,334.7593313,9493.5,-38.509,,,,,,,,,,,,,,,,
-7200,46.8,334.755525,9494.9,-38.51,,,,,,,,,,,,,,,,
-6900,48.6,334.7521125,9517.3,-38.513,,,,,,,,,,,,,,,,
-6600,50.4,334.7488313,9510.8,-38.511,,,,,,,,,,,,,,,,
-6300,52.2,334.7453969,9532.1,-38.523,,,,,,,,,,,,,,,,
-6000,54,334.7425313,9501.3,-38.526,,,,,,,,,,,,,,,,
-5700,55.8,334.7384625,9489.1,-38.527,,,,,,,,,,,,,,,,
-5400,57.6,334.73505,9489.7,-38.538,,,,,,,,,,,,,,,,
-5100,59.4,334.7314625,9502.3,-38.53,,,,,,,,,,,,,,,,
-4800,61.2,334.7282688,9475.1,-38.543,,,,,,,,,,,,,,,,
-4500,63,334.7249,9471.3,-38.544,,,,,,,,,,,,,,,,
-4200,64.8,334.7212031,9474.9,-38.542,,,,,,,,,,,,,,,,
-3900,66.6,334.7181406,9461.2,-38.546,,,,,,,,,,,,,,,,
-3600,68.4,334.714925,9463.9,-38.556,,,,,,,,,,,,,,,,
-3300,70.2,334.71125,9468.7,-38.553,,,,,,,,,,,,,,,,
-3000,72,334.7081219,9460,-38.564,,,,,,,,,,,,,,,,
-2700,73.8,334.7050813,9481.5,-38.565,,,,,,,,,,,,,,,,
-2400,75.6,334.7021281,9458,-38.571,,,,,,,,,,,,,,,,
-2100,77.4,334.6983656,9453.1,-38.57,,,,,,,,,,,,,,,,
-1800,79.2,334.6952375,9456.8,-38.57,,,,,,,,,,,,,,,,
-1500,81,334.6917813,9442.5,-38.583,,,,,,,,,,,,,,,,
-1200,82.8,334.6900094,9439.1,-38.579,,,,,,,,,,,,,,,,
-900,84.6,334.6879094,9442.9,-38.578,,,,,,,,,,,,,,,,
-600,86.4,334.6857875,9466.9,-38.584,,,,,,,,,,,,,,,,
-300,88.2,334.6849563,9435.5,-38.578,,,,,,,,,,,,,,,,
0,90,334.6828219,9447,-38.571,,,,,,,,,,,,,,,,
