Step,height (mm),Frequency (MHz),Q,Loss (dB),mm_p_step,Holder Material,Sample,OD base (mm),OD top (mm),Length (mm),Length wo base (mm),ID (mm),WG_length (mm),WG_d (mm),WG_a (mm),WG_wall_thickness (mm),Mode,Sample OD (mm),Sample Aeff,Aeff,Sample Aeff Efield,Aeff Efield
-15000,0,668.3541875,10366,-23.621,0.006,7LR,66041.3 mature highland,9.9,9.9,150.95,148.37,6.85,1003.3,500.202,99.53,13,4,6.85,33.09979,69.09438,0.01694067,0.07387422
-14700,1.8,668.3545948,10339,-23.617,,,,,,,,,,,,,,,,,,
-14400,3.6,668.3536719,10358,-23.616,,,,,,,,,,,,,,,,,,
-14100,5.4,668.35425,10339,-23.618,,,,,,,,,,,,,,,,,,
-13800,7.2,668.3536406,10342,-23.618,,,,,,,,,,,,,,,,,,
-13500,9,668.3541719,10363,-23.618,,,,,,,,,,,,,,,,,,
-13200,10.8,668.3543438,10363,-23.626,,,,,,,,,,,,,,,,,,
-12900,12.6,668.3545156,10355,-23.618,,,,,,,,,,,,,,,,,,
-12600,14.4,668.3542969,10346,-23.619,,,,,,,,,,,,,,,,,,
-12300,16.2,668.3543125,10385,-23.616,,,,,,,,,,,,,,,,,,
-12000,18,668.3548125,10368,-23.621,,,,,,,,,,,,,,,,,,
-11700,19.8,668.3545156,10383,-23.625,,,,,,,,,,,,,,,,,,
-11400,21.6,668.3548438,10343,-23.631,,,,,,,,,,,,,,,,,,
-11100,23.4,668.3545781,10337,-23.629,,,,,,,,,,,,,,,,,,
-10800,25.2,668.3547344,10337,-23.629,,,,,,,,,,,,,,,,,,
-10500,27,668.3547813,10336,-23.629,,,,,,,,,,,,,,,,,,
-10200,28.8,668.3541719,10357,-23.633,,,,,,,,,,,,,,,,,,
-9900,30.6,668.3542969,10315,-23.634,,,,,,,,,,,,,,,,,,
-9600,32.4,668.3545,10328,-23.637,,,,,,,,,,,,,,,,,,
-9300,34.2,668.3542031,10312,-23.638,,,,,,,,,,,,,,,,,,
-9000,36,668.3543594,10308,-23.637,,,,,,,,,,,,,,,,,,
-8700,37.8,668.3541875,10302,-23.643,,,,,,,,,,,,,,,,,,
-8400,39.6,668.3545625,10333,-23.649,,,,,,,,,,,,,,,,,,
-8100,41.4,668.3542344,10328,-23.65,,,,,,,,,,,,,,,,,,
-7800,43.2,668.3542188,10309,-23.652,,,,,,,,,,,,,,,,,,
-7500,45,668.3548594,10293,-23.653,,,,,,,,,,,,,,,,,,
-7200,46.8,668.3546094,10321,-23.655,,,,,,,,,,,,,,,,,,
-6900,48.6,668.353875,10323,-23.657,,,,,,,,,,,,,,,,,,
-6600,50.4,668.3538438,10312,-23.659,,,,,,,,,,,,,,,,,,
-6300,52.2,668.3549688,10304,-23.661,,,,,,,,,,,,,,,,,,
-6000,54,668.3542031,10302,-23.66,,,,,,,,,,,,,,,,,,
-5700,55.8,668.3541875,10291,-23.664,,,,,,,,,,,,,,,,,,
-5400,57.6,668.3544688,10301,-23.664,,,,,,,,,,,,,,,,,,
-5100,59.4,668.3543594,10284,-23.664,,,,,,,,,,,,,,,,,,
-4800,61.2,668.3538125,10278,-23.668,,,,,,,,,,,,,,,,,,
-4500,63,668.3547344,10269,-23.671,,,,,,,,,,,,,,,,,,
-4200,64.8,668.3535781,10272,-23.676,,,,,,,,,,,,,,,,,,
-3900,66.6,668.3545938,10283,-23.674,,,,,,,,,,,,,,,,,,
-3600,68.4,668.3541094,10296,-23.678,,,,,,,,,,,,,,,,,,
-3300,70.2,668.3541563,10259,-23.684,,,,,,,,,,,,,,,,,,
-3000,72,668.3543125,10251,-23.684,,,,,,,,,,,,,,,,,,
-2700,73.8,668.3540313,10280,-23.686,,,,,,,,,,,,,,,,,,
-2400,75.6,668.3543594,10278,-23.686,,,,,,,,,,,,,,,,,,
-2100,77.4,668.3542344,10248,-23.689,,,,,,,,,,,,,,,,,,
-1800,79.2,668.3538125,10287,-23.694,,,,,,,,,,,,,,,,,,
-1500,81,668.3538125,10265,-23.694,,,,,,,,,,,,,,,,,,
-1200,82.8,668.3544531,10262,-23.698,,,,,,,,,,,,,,,,,,
-900,84.6,668.3537969,10284,-23.698,,,,,,,,,,,,,,,,,,
-600,86.4,668.3540469,10258,-23.694,,,,,,,,,,,,,,,,,,
-300,88.2,668.353875,10266,-23.693,,,,,,,,,,,,,,,,,,
0,90,668.3537813,10271,-23.698,,,,,,,,,,,,,,,,,,
